# Current abbreviations calculated in build priority: BGG ID, owned/direct name, then first two characters.
# game_name	bgg_id	abbr	source
1%의기적	378040	1%	fallback 사용
12칩트릭	358669	12	fallback 사용
1862 이스턴 카운티	66837	18	fallback 사용
5분 마블	253618	5분	fallback 사용
5초준다	86073	5초	fallback 사용
7원더스	68448	7원	fallback 사용
가이아프로젝트	220308	가이아	ID 명시 약칭
가짜예술가뉴욕에가다	135779	가짜	fallback 사용
갈팡질팡	370444	갈팡	fallback 사용
개구리벌주기	6387	개구리	ID 명시 약칭
개구리사탕먹기	5895	개구리	ID 명시 약칭
갠지스 다이스차머	318553	갠지다	ID 명시 약칭
갠지스의 라자	220877	갠지스	ID 명시 약칭
갤러리스트	125153	갤러	ID 명시 약칭
갱오브포	3085	갱오	fallback 사용
게놈의탑		게놈	fallback 사용
고고시티	264638	고고	fallback 사용
고스트	2290	고스	fallback 사용
고질라도쿄클래시	303051	고질라	ID 명시 약칭
골드	306680	골드	ID 명시 약칭
골드러시	297661	골러	ID 명시 약칭
구두룡저택의살인 (미스터리파티시리즈)	336495	구두룡	ID 명시 약칭
궁신	402283	궁신	fallback 사용
그것이문제로다	226322	그것	fallback 사용
그라운드플로어	38765	그라	fallback 사용
그랜드오스트리아호텔	182874	그오호	ID 명시 약칭
그레이트웨스턴트레일	193738	그웨트	ID 명시 약칭
그레이트웨스턴트레일 뉴질랜드	380607	뉴웨트	ID 명시 약칭
글래스로드	143693	글래스	ID 명시 약칭
글렌모어연대기	265188	글렌	fallback 사용
글룸헤이븐	174430	글룸	ID 명시 약칭
기도하고일하라	70149	기도일	ID 명시 약칭
기즈모	246192	기즈	fallback 사용
기차섬 탑승하세요	355224	기차섬	ID 명시 약칭
기차섬(영)	154906	기차섬	ID 명시 약칭
김밥요리사	377941	김밥	fallback 사용
꼬치의달인	264797	꼬치	ID 명시 약칭
끝나지않는한여름(미스터리파티시리즈)		끝나	fallback 사용
나나	352515	나나	ID 명시 약칭
나나 크리스마스에디션	352515	나나	ID 명시 약칭
나르	379629	나르	fallback 사용
나의최애명대사	427325	명대사	ID 명시 약칭
남티그리스의학자들	367041	남티학	ID 명시 약칭
내마음의주파수	262543	내마	fallback 사용
냥냥집사	440029	냥냥	fallback 사용
냥자역학연구소	324345	냥자	fallback 사용
너도나도	348532	너도	fallback 사용
노땡스	12942	노땡	fallback 사용
노터치크라켄	253786	노터치	ID 명시 약칭
노팅엄의지방관	298638	노팅	fallback 사용
놉놉테이블	365979	놉놉	fallback 사용
누가치즈를훔쳤을까	294175	누가	fallback 사용
뉴클리엄	396790	뉴클	fallback 사용
늑대인간마을의축제(미스터리파티시리즈)	393283	늑대	fallback 사용
니다벨리르	293014	니다	fallback 사용
니말리아	361850	니말	fallback 사용
니어앤파	195421	니어	fallback 사용
다빈치코드	8946	다빈	ID 명시 약칭
다빈치코드플러스	8946	다빈	ID 명시 약칭
다섯부족	157354	다섯	fallback 사용
다운포스	215311	다운	fallback 사용
다윈의여정	322289	다윈	ID 명시 약칭
다윈의위대한발자취	376683	다윈발	ID 명시 약칭
다이너스티 혼인과통치	191972	다이	fallback 사용
다잉메시지 + 공범,만화가 확장	400958	다빈치	ID 명시 약칭
다크율	393284	다크율	ID 명시 약칭
다크호스	158356	다크호	ID 명시 약칭
달무티	929	달무	fallback 사용
당나귀다리	386470	당나	fallback 사용
대만차연대기	287941	대만차	ID 명시 약칭
더게임	173090	더게	fallback 사용
더루프	316412	더루	fallback 사용
더리치앤더굿	38863	더리치	ID 명시 약칭
더마인드	244992	더마	fallback 사용
던전레이더스	80771	던레	ID 명시 약칭
던전로드	45315	던로	ID 명시 약칭
덤불속	102181	덤불	fallback 사용
데드맨스드로우	149155	데드맨	ID 명시 약칭
데드오브윈터	150376	데오윈	ID 명시 약칭
데스티네이션x	223726	데스X	ID 명시 약칭
데스티니즈	285192	데스티	ID 명시 약칭
도르프로만틱	370591	도르	fallback 사용
도망자	370597	도망	fallback 사용
도미넌트스피시즈		도스피	이름 정본
도미니언	36218	도미	ID 명시 약칭
도미니언 약속된번영	66690	도미	ID 명시 약칭
도미니언 위대한제국	192951	도미	ID 명시 약칭
도미니언 장막뒤의사람들	40834	도미	ID 명시 약칭
도블	63268	도블	ID 명시 약칭
도블 동물원	63268	도블	ID 명시 약칭
도적단의월급날	391761	도적	fallback 사용
독수리눈치싸움	175	독수리	ID 명시 약칭
동물왕와일드사파리	398	동물	fallback 사용
동인도회사	354132	동인	fallback 사용
두근두근악어이빨	10453	두근	fallback 사용
두리안	307963	두리	fallback 사용
두부왕국	186475	두부	fallback 사용
뒤죽박죽서커스	220738	뒤죽	fallback 사용
뒤집어줘캡틴	393325	뒤캡	ID 명시 약칭
듄임페리움	316554	듄	ID 명시 약칭
듄임페리움봉기	397598	봉기	ID 명시 약칭
드라큘라VS반헬싱	381278	드라	fallback 사용
드랍잇 (독)	244916	드랍잇	ID 명시 약칭
드림홈	194880	드림	fallback 사용
디센트	104162	디센	fallback 사용
디셉션	156129	디셉	fallback 사용
디스워오브마인	188920	디워마	ID 명시 약칭
디스워오브마인 폐허가된도시이야기 확장	247665	디워마	ID 명시 약칭
딕싯	39856	딕싯	fallback 사용
딥씨크루		딥씨	fallback 사용
딩고디스크	319598	딩고	fallback 사용
라그랑하 디럭스 마스터	341945	라그	fallback 사용
라마	266083	라마	ID 명시 약칭
라마랜드	330038	라마랜	ID 명시 약칭
라스베가스	117959	라스	ID 명시 약칭
라스베가스로얄(중)	271319	라스로	ID 명시 약칭
라온	88633	라온	fallback 사용
라운드더월드(영)	244951	라운	fallback 사용
라이		라이	이름 정본
라이노교수가아는다가오는죽음		라이노	이름 정본
라이벌시티	433384	라이벌	ID 명시 약칭
라이슬라	154246	라이슬	ID 명시 약칭
라이즈오브아우구스투스	137297	아우구	ID 명시 약칭
라타	374201	라타	fallback 사용
래드랜드	329082	래드	fallback 사용
랩터	177639	랩터	fallback 사용
랭카스터	96913	랭카	fallback 사용
러브레터	277085	러브	ID 명시 약칭
