# Review candidates only. `fallback 사용` means the current UI falls back to the first two characters.
# game_name	bgg_id	current_abbr	source	reason
1%의기적	378040	1%	fallback 사용	fallback 사용
12칩트릭	358669	12	fallback 사용	fallback 사용
1862 이스턴 카운티	66837	18	fallback 사용	fallback 사용
5분 마블	253618	5분	fallback 사용	fallback 사용
5초준다	86073	5초	fallback 사용	fallback 사용
7원더스	68448	7원	fallback 사용	fallback 사용
가짜예술가뉴욕에가다	135779	가짜	fallback 사용	fallback 사용
갈팡질팡	370444	갈팡	fallback 사용	fallback 사용
개구리벌주기	6387	개구리	ID 명시 약칭	duplicate-abbr
개구리사탕먹기	5895	개구리	ID 명시 약칭	duplicate-abbr
갱오브포	3085	갱오	fallback 사용	fallback 사용
게놈의탑		게놈	fallback 사용	fallback 사용,no-bgg-id
고고시티	264638	고고	fallback 사용	fallback 사용
고스트	2290	고스	fallback 사용	fallback 사용
궁신	402283	궁신	fallback 사용	fallback 사용
그것이문제로다	226322	그것	fallback 사용	fallback 사용
그라운드플로어	38765	그라	fallback 사용	fallback 사용
글렌모어연대기	265188	글렌	fallback 사용	fallback 사용
기즈모	246192	기즈	fallback 사용	fallback 사용
기차섬 탑승하세요	355224	기차섬	ID 명시 약칭	duplicate-abbr
기차섬(영)	154906	기차섬	ID 명시 약칭	duplicate-abbr
김밥요리사	377941	김밥	fallback 사용	fallback 사용
끝나지않는한여름(미스터리파티시리즈)		끝나	fallback 사용	fallback 사용,no-bgg-id
나나 크리스마스에디션	352515	나나	ID 명시 약칭	duplicate-abbr
나나	352515	나나	ID 명시 약칭	duplicate-abbr
나르	379629	나르	fallback 사용	fallback 사용
내마음의주파수	262543	내마	fallback 사용	fallback 사용
냥냥집사	440029	냥냥	fallback 사용	fallback 사용
냥자역학연구소	324345	냥자	fallback 사용	fallback 사용
너도나도	348532	너도	fallback 사용	fallback 사용
노땡스	12942	노땡	fallback 사용	fallback 사용
노팅엄의지방관	298638	노팅	fallback 사용	fallback 사용
놉놉테이블	365979	놉놉	fallback 사용	fallback 사용
누가치즈를훔쳤을까	294175	누가	fallback 사용	fallback 사용
뉴클리엄	396790	뉴클	fallback 사용	fallback 사용
늑대인간마을의축제(미스터리파티시리즈)	393283	늑대	fallback 사용	fallback 사용
니다벨리르	293014	니다	fallback 사용	fallback 사용
니말리아	361850	니말	fallback 사용	fallback 사용
니어앤파	195421	니어	fallback 사용	fallback 사용
다빈치코드	8946	다빈	ID 명시 약칭	duplicate-abbr
다빈치코드플러스	8946	다빈	ID 명시 약칭	duplicate-abbr
다섯부족	157354	다섯	fallback 사용	fallback 사용
다운포스	215311	다운	fallback 사용	fallback 사용
다이너스티 혼인과통치	191972	다이	fallback 사용	fallback 사용
달무티	929	달무	fallback 사용	fallback 사용
당나귀다리	386470	당나	fallback 사용	fallback 사용
더게임	173090	더게	fallback 사용	fallback 사용
더루프	316412	더루	fallback 사용	fallback 사용
더마인드	244992	더마	fallback 사용	fallback 사용
덤불속	102181	덤불	fallback 사용	fallback 사용
도르프로만틱	370591	도르	fallback 사용	fallback 사용
도망자	370597	도망	fallback 사용	fallback 사용
도미니언 약속된번영	66690	도미	ID 명시 약칭	duplicate-abbr
도미니언 위대한제국	192951	도미	ID 명시 약칭	duplicate-abbr
도미니언 장막뒤의사람들	40834	도미	ID 명시 약칭	duplicate-abbr
도미니언	36218	도미	ID 명시 약칭	duplicate-abbr
도블 동물원	63268	도블	ID 명시 약칭	duplicate-abbr
도블	63268	도블	ID 명시 약칭	duplicate-abbr
도적단의월급날	391761	도적	fallback 사용	fallback 사용
동물왕와일드사파리	398	동물	fallback 사용	fallback 사용
동인도회사	354132	동인	fallback 사용	fallback 사용
두근두근악어이빨	10453	두근	fallback 사용	fallback 사용
두리안	307963	두리	fallback 사용	fallback 사용
두부왕국	186475	두부	fallback 사용	fallback 사용
뒤죽박죽서커스	220738	뒤죽	fallback 사용	fallback 사용
드라큘라VS반헬싱	381278	드라	fallback 사용	fallback 사용
드림홈	194880	드림	fallback 사용	fallback 사용
디센트	104162	디센	fallback 사용	fallback 사용
디셉션	156129	디셉	fallback 사용	fallback 사용
디스워오브마인 폐허가된도시이야기 확장	247665	디워마	ID 명시 약칭	duplicate-abbr
디스워오브마인	188920	디워마	ID 명시 약칭	duplicate-abbr
딕싯	39856	딕싯	fallback 사용	fallback 사용
딥씨크루		딥씨	fallback 사용	fallback 사용,no-bgg-id
딩고디스크	319598	딩고	fallback 사용	fallback 사용
라그랑하 디럭스 마스터	341945	라그	fallback 사용	fallback 사용
라온	88633	라온	fallback 사용	fallback 사용
라운드더월드(영)	244951	라운	fallback 사용	fallback 사용
라이		라이	이름 정본	no-bgg-id
라이노교수가아는다가오는죽음		라이노	이름 정본	no-bgg-id
라타	374201	라타	fallback 사용	fallback 사용
래드랜드	329082	래드	fallback 사용	fallback 사용
랩터	177639	랩터	fallback 사용	fallback 사용
랭카스터	96913	랭카	fallback 사용	fallback 사용
럭키넘버스	118247	럭키	fallback 사용	fallback 사용
럼블네이션	266722	럼블	fallback 사용	fallback 사용
레드룸	442306	레드	fallback 사용	fallback 사용
레디셋벳	351040	레디	fallback 사용	fallback 사용
레벨10	211940	레벨	fallback 사용	fallback 사용
레인보우세븐	351149	레인	fallback 사용	fallback 사용
레즈아르카나 + 확장	262712	레즈	fallback 사용	fallback 사용
레지사이드 레거시		레지사	이름 정본	no-bgg-id
레지스탕스 아발론	128882	아발론	ID 명시 약칭	duplicate-abbr
레지스탕스 쿠	131357	쿠	ID 명시 약칭	duplicate-abbr
레코 플러스		레코	fallback 사용	fallback 사용,no-bgg-id
렉시오	19184	렉시	fallback 사용	fallback 사용
로그		로그	fallback 사용	fallback 사용,no-bgg-id
로나에나: 재앙의 선물	350585	로나	fallback 사용	fallback 사용
로보77	3337	로보	fallback 사용	fallback 사용
로스트시티	50	로스	fallback 사용	fallback 사용
루미큐브	811	루미	fallback 사용	fallback 사용
루이스앤클라크	140620	루이	fallback 사용	fallback 사용
루핑루이	327	루핑	fallback 사용	fallback 사용
르네상스의거장들	280453	르네	fallback 사용	fallback 사용
리바이브	332772	리바	fallback 사용	fallback 사용
리버탈리아	356033	리버	fallback 사용	fallback 사용
리볼버2	128733	리볼	fallback 사용	fallback 사용
마닐라	15817	마닐	fallback 사용	fallback 사용
마법사의물약(독)	95231	마법	fallback 사용	fallback 사용
마블좀비	351817	마블	fallback 사용	fallback 사용
마스크맨	159581	마스	fallback 사용	fallback 사용
마운틴고트	63975	마운	fallback 사용	fallback 사용
마헤	3383	마헤	fallback 사용	fallback 사용
맥주와빵	369880	맥주	fallback 사용	fallback 사용
맨덤의던전	150312	맨덤	fallback 사용	fallback 사용
메디치	46	메디	fallback 사용	fallback 사용
멘네페르	404431	멘네	fallback 사용	fallback 사용
모노폴리 딜럭스	7098	모노	fallback 사용	fallback 사용
모던아트 (페가수스)	118	모던	fallback 사용	fallback 사용
모두의마블		모두	fallback 사용	fallback 사용,no-bgg-id
모렐	122298	모렐	fallback 사용	fallback 사용
모아보새	245476	모아	fallback 사용	fallback 사용
몰타의관문	181960	몰타	fallback 사용	fallback 사용
뮤제	234396	뮤제	fallback 사용	fallback 사용
미노다이스	191071	미노	fallback 사용	fallback 사용
바람의부족	362986	바람	fallback 사용	fallback 사용
바퀴벌레포커	11971	바퀴	fallback 사용	fallback 사용
반디도	191925	반디	fallback 사용	fallback 사용
방방곡곡 세계유랑	230667	방방	fallback 사용	fallback 사용
뱅 주사위	143741	뱅 	fallback 사용	fallback 사용
뱅	3955	뱅	fallback 사용	fallback 사용
번레이트	3341	번레	fallback 사용	fallback 사용
범고래고래	388413	범고	fallback 사용	fallback 사용
베티보터보우트썸버터	426314	베티	fallback 사용	fallback 사용
벨라티	259374	벨라	fallback 사용	fallback 사용
벨에포크파리	282954	벨에	fallback 사용	fallback 사용
보난자	11	보난	fallback 사용	fallback 사용
보타닉가든	334065	보타	fallback 사용	fallback 사용
보틀임프	619	보틀	fallback 사용	fallback 사용
본파이어 빅박스	304420	본파	fallback 사용	fallback 사용
봄버스터즈	413246	봄버	fallback 사용	fallback 사용
봉잡았다	351809	봉잡	fallback 사용	fallback 사용
부루마불 클래식	10506	부루	fallback 사용	fallback 사용
분레이크	343905	분레	fallback 사용	fallback 사용
붉은대성당	227224	붉은	fallback 사용	fallback 사용
붑	355433	붑	fallback 사용	fallback 사용
브레인토피아	206175	브레	fallback 사용	fallback 사용
블로커스3D	6411	블로	fallback 사용	fallback 사용
비티컬처 에센셜	183394	비티	fallback 사용	fallback 사용
빅샷	1125	빅샷	fallback 사용	fallback 사용
빌라봉	464	빌라	fallback 사용	fallback 사용
사그라다	199561	사그	fallback 사용	fallback 사용
사라진속옷과 하늘을나는물고기	350586	사라	fallback 사용	fallback 사용
사보타지	9220	사보	fallback 사용	fallback 사용
산타마리아	229220	산타	fallback 사용	fallback 사용
생츄어리 아크노바게임	441696	생츄	fallback 사용	fallback 사용
섀도우레이더스	288098	섀도	fallback 사용	fallback 사용
서머너워즈	332800	서머	fallback 사용	fallback 사용
서스펙트게임 : 클로즈드 서클 미스터리	322785	서스	ID 명시 약칭	duplicate-abbr
서스펙트게임 리로드	322785	서스	ID 명시 약칭	duplicate-abbr
서퍼사우르스맥스	394887	서퍼	fallback 사용	fallback 사용
석기시대	34635	석기	fallback 사용	fallback 사용
선물입니다	420887	선물	fallback 사용	fallback 사용
선셋오버워터	224904	선셋	fallback 사용	fallback 사용
성투	760	성투	fallback 사용	fallback 사용
세트	1198	세트	fallback 사용	fallback 사용
세티	418059	세티	fallback 사용	fallback 사용
셀레스티아 빅박스	175117	셀레	fallback 사용	fallback 사용
셜록13	149869	셜록	fallback 사용	fallback 사용
솔튼씨	402663	솔튼	fallback 사용	fallback 사용
쇼텐토텐	372	쇼텐	fallback 사용	fallback 사용
수상한생선들	359893	수상	fallback 사용	fallback 사용
숲속의음악대	999	숲속	fallback 사용	fallback 사용
슈뢰딩거의고양이	172235	슈뢰	fallback 사용	fallback 사용
스릴팡	9539	스릴	fallback 사용	fallback 사용
스위스사는스미스씨	418896	스위	fallback 사용	fallback 사용
스크래블 딜럭스	320	스크	fallback 사용	fallback 사용
스키티아의침략자	301880	스키	fallback 사용	fallback 사용
스탁파일	161614	스탁	fallback 사용	fallback 사용
스트라테고 퀵배틀	197108	스트	fallback 사용	fallback 사용
스파이vs스파이	299569	스파vs	ID 명시 약칭	abbr-over-3-chars
스파이폴2	193308	스파폴2	ID 명시 약칭	abbr-over-3-chars
스페이스 크루	284083	스페	fallback 사용	fallback 사용
스플렌더 마블	293296	마블렌더	ID 명시 약칭	abbr-over-3-chars
스플렌더 찬란한도시확장	220653	스플	ID 명시 약칭	duplicate-abbr
스플렌더 포켓몬	406291	포플렌더	ID 명시 약칭	abbr-over-3-chars
스플렌더	148228	스플	ID 명시 약칭	duplicate-abbr
슬리핑퀸즈	17053	슬리	fallback 사용	fallback 사용
시간을달리는트라이앵글 (머더미스터리미니 )	379872	시간	fallback 사용	fallback 사용
시볼루션	400602	시볼	fallback 사용	fallback 사용
시체와온천 (머더미스터리미니)	370748	시체	fallback 사용	fallback 사용
시타델	205398	시타	fallback 사용	fallback 사용
시티체이스	346625	시티	fallback 사용	fallback 사용
썬플라워밸리	228390	썬플	fallback 사용	fallback 사용
아노1800	311193	아노	fallback 사용	fallback 사용
아발론 클래식	526	아발론	ID 명시 약칭	duplicate-abbr
아브라카왓	163930	아브	fallback 사용	fallback 사용
아야르	429438	아야	fallback 사용	fallback 사용
아임더보스	115	아임	fallback 사용	fallback 사용
아줄	230802	아줄	fallback 사용	fallback 사용
아쿠아티카	283393	아쿠	fallback 사용	fallback 사용
아키텍추라	256390	아키	fallback 사용	fallback 사용
악마성의마차	25951	악마	fallback 사용	fallback 사용
알렉산드리아 도서관	432834	알렉	fallback 사용	fallback 사용
알마마터	299960	알마	fallback 사용	fallback 사용
암스테르담	314582	암스	fallback 사용	fallback 사용
애꾸눈선장룰렛게임		애꾸	fallback 사용	fallback 사용,no-bgg-id
액시스앤얼라이어스1941 (영)	123185	액시41	ID 명시 약칭	abbr-over-3-chars
액시스앤얼라이어스1942 (영)	41863	액시42	ID 명시 약칭	abbr-over-3-chars
야옹섬	281259	야옹	fallback 사용	fallback 사용
야채주식	328211	야채	fallback 사용	fallback 사용
양적완화(Q.E.)	266830	양적	fallback 사용	fallback 사용
어비스	155987	어비	fallback 사용	fallback 사용
어센션	69789	어센	fallback 사용	fallback 사용
어스	350184	어스	fallback 사용	fallback 사용
언매치드	274637	언매	fallback 사용	fallback 사용
에메랄드스컬	421762	에메	fallback 사용	fallback 사용
에에스오브스페이드	429861	에오스	ID 명시 약칭	duplicate-abbr
에이다		에이다	이름 정본	no-bgg-id
에이지오브스팀	4098	에오스	ID 명시 약칭	duplicate-abbr
엑시트 버려진오두막	203420	엑시트	ID 명시 약칭	duplicate-abbr
엑시트 불길한고성	226520	엑시트	ID 명시 약칭	duplicate-abbr
엑시트 연구실의비밀	203417	엑시트	ID 명시 약칭	duplicate-abbr
엑시트 저주받은 섬	215841	엑시트	ID 명시 약칭	duplicate-abbr
엔들리스윈(+확장2)	305096	엔들	fallback 사용	fallback 사용
엘더베일의거처	271055	엘더	fallback 사용	fallback 사용
엘드리치호러 (+확장)	146021	엘드	fallback 사용	fallback 사용
영리한여우	244522	영리	fallback 사용	fallback 사용
영웅을빌려줘	135116	영웅	fallback 사용	fallback 사용
옛날옛적에	1234	옛날	fallback 사용	fallback 사용
오 미우바우	311031	오 	fallback 사용	fallback 사용
오딘	406854	오딘	ID 명시 약칭	duplicate-abbr
오딘을위하여 + 노르웨이 사람들 확장 + 소형확장1	177736	오딘	ID 명시 약칭	duplicate-abbr
오리진스+확장	322588	오리	fallback 사용	fallback 사용
오버부킹	354328	오버	fallback 사용	fallback 사용
